Lot,Process001_MachineNo,Process002_MachineNo,Process003_MachineNo,Process004_MachineNo,Process005_MachineNo,Process006_MachineNo,Process007_MachineNo,Process008_MachineNo,Process009_MachineNo,Process010_MachineNo,Process011_MachineNo,Process012_MachineNo,Process013_MachineNo,Process014_MachineNo,Process015_MachineNo,Process016_MachineNo,Process017_MachineNo,Process018_MachineNo,Process019_MachineNo,Process020_MachineNo,Process021_MachineNo,Process022_MachineNo,Process023_MachineNo,Process024_MachineNo,Process025_MachineNo,Process026_MachineNo,Process027_MachineNo,Process028_MachineNo,Process029_MachineNo,Process030_MachineNo,Process031_MachineNo,Process032_MachineNo,Process033_MachineNo,Process034_MachineNo,Process035_MachineNo,Final,CurrentTotalNum,BadNum,TotalNum
WB2018400438-C00001,FN-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,0,25
WB2018400438-C00001,FN-004,PT-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,,,,,,,,,,,,,,,,,,,,,,,,,,,9,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,,,,,,,,,,,,,,,,,,,,,,,,,,10,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,,,,,,,,,,,,,,,,,,,,,,,,,11,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,,,,,,,,,,,,,,,,,,,,,,,,12,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,,,,,,,,,,,,,,,,,,,,,,,13,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,,,,,,,,,,,,,,,,,,,,,,14,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,,,,,,,,,,,,,,,,,,,,,15,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,,,,,,,,,,,,,,,,,,,,16,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-017,,,,,,,,,,,,,,,,,,,17,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-017,GP-005,,,,,,,,,,,,,,,,,,18,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-017,GP-005,ME-005,,,,,,,,,,,,,,,,,19,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-017,GP-005,ME-005,PT-104,,,,,,,,,,,,,,,,20,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-017,GP-005,ME-005,PT-104,OV-182,,,,,,,,,,,,,,,21,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-017,GP-005,ME-005,PT-104,OV-182,PL-003,,,,,,,,,,,,,,22,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-017,GP-005,ME-005,PT-104,OV-182,PL-003,LS-020,,,,,,,,,,,,,23,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-017,GP-005,ME-005,PT-104,OV-182,PL-003,LS-020,SW-026,,,,,,,,,,,,24,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-017,GP-005,ME-005,PT-104,OV-182,PL-003,LS-020,SW-026,UC-013,,,,,,,,,,,25,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-017,GP-005,ME-005,PT-104,OV-182,PL-003,LS-020,SW-026,UC-013,HO-026,,,,,,,,,,-1,25,5,25
WB2018400438-C00002,FN-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,11
WB2018400438-C00002,FN-004,PT-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,,,,,,,,,,,,,,,,,,,,,,,,,11,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,,,,,,,,,,,,,,,,,,,,,,,,12,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,,,,,,,,,,,,,,,,,,,,,,,13,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,,,,,,,,,,,,,,,,,,,,,,14,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,,,,,,,,,,,,,,,,,,,,,15,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,,,,,,,,,,,,,,,,,,,,16,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-007,,,,,,,,,,,,,,,,,,,17,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-007,GP-005,,,,,,,,,,,,,,,,,,18,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-007,GP-005,ME-005,,,,,,,,,,,,,,,,,19,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-007,GP-005,ME-005,PT-104,,,,,,,,,,,,,,,,20,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-007,GP-005,ME-005,PT-104,OV-182,,,,,,,,,,,,,,,21,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-007,GP-005,ME-005,PT-104,OV-182,PL-003,,,,,,,,,,,,,,22,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-007,GP-005,ME-005,PT-104,OV-182,PL-003,LS-020,,,,,,,,,,,,,23,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-007,GP-005,ME-005,PT-104,OV-182,PL-003,LS-020,SW-026,,,,,,,,,,,,24,11,0,11
WB2018400438-C00002,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,SP-007,PL-024,DR-001,EX-004,DM-005,PL-007,GP-005,ME-005,PT-104,OV-182,PL-003,LS-020,SW-026,HO-026,,,,,,,,,,,-1,11,2,11
WB2018500021-A00249,CR-022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,64896,0,64896
WB2018500021-A00249,CR-022,OV-058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,64896,0,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,64896,0,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,64896,0,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,DR-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,64896,0,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,64896,0,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,64896,0,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,64896,0,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-002,,,,,,,,,,,,,,,,,,,,,,,,,,,9,64896,0,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-002,GP-005,,,,,,,,,,,,,,,,,,,,,,,,,,10,64896,0,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-002,GP-005,ME-005,,,,,,,,,,,,,,,,,,,,,,,,,11,64896,676,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-002,GP-005,ME-005,SB-001,,,,,,,,,,,,,,,,,,,,,,,,12,64220,0,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-002,GP-005,ME-005,SB-001,ES-001,,,,,,,,,,,,,,,,,,,,,,,13,64220,676,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-002,GP-005,ME-005,SB-001,ES-001,LK-004,,,,,,,,,,,,,,,,,,,,,,14,63544,0,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-002,GP-005,ME-005,SB-001,ES-001,LK-004,SA-001,,,,,,,,,,,,,,,,,,,,,15,63544,0,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-002,GP-005,ME-005,SB-001,ES-001,LK-004,SA-001,LS-063,,,,,,,,,,,,,,,,,,,,16,63544,0,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-002,GP-005,ME-005,SB-001,ES-001,LK-004,SA-001,LS-063,FT-089,,,,,,,,,,,,,,,,,,,17,63544,2369,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-002,GP-005,ME-005,SB-001,ES-001,LK-004,SA-001,LS-063,FT-089,MS-017,,,,,,,,,,,,,,,,,,18,61175,0,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-002,GP-005,ME-005,SB-001,ES-001,LK-004,SA-001,LS-063,FT-089,MS-017,MS-019,,,,,,,,,,,,,,,,,19,61175,3130,64896
WB2018500021-A00249,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-002,GP-005,ME-005,SB-001,ES-001,LK-004,SA-001,LS-063,FT-089,MS-017,MS-019,MK-022,,,,,,,,,,,,,,,,-1,58045,0,64896
WB2018500021-A00252,CR-022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,48672,0,48672
WB2018500021-A00252,CR-022,OV-058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48672,0,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,48672,0,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,48672,0,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,DR-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,48672,0,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,48672,0,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,48672,0,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,48672,0,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-010,,,,,,,,,,,,,,,,,,,,,,,,,,,9,48672,0,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-010,GP-005,,,,,,,,,,,,,,,,,,,,,,,,,,10,48672,0,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-010,GP-005,ME-005,,,,,,,,,,,,,,,,,,,,,,,,,11,48672,0,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,,,,,,,,,,,,,,,,,,,,,,,,12,48672,0,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,ES-001,,,,,,,,,,,,,,,,,,,,,,,13,48672,0,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,ES-001,LK-004,,,,,,,,,,,,,,,,,,,,,,14,48672,0,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,ES-001,LK-004,LS-063,,,,,,,,,,,,,,,,,,,,,15,48672,0,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,ES-001,LK-004,LS-063,FT-088,,,,,,,,,,,,,,,,,,,,16,48672,847,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,ES-001,LK-004,LS-063,FT-088,MS-017,,,,,,,,,,,,,,,,,,,17,47825,676,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,ES-001,LK-004,LS-063,FT-088,MS-017,MS-019,,,,,,,,,,,,,,,,,,18,47149,3683,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,ES-001,LK-004,LS-063,FT-088,MS-017,MS-019,MK-016,,,,,,,,,,,,,,,,,19,43466,1590,48672
WB2018500021-A00252,CR-022,OV-058,SP-007,PL-024,DR-001,EX-002,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,ES-001,LK-004,LS-063,FT-088,MS-017,MS-019,MK-016,MS-041,,,,,,,,,,,,,,,,-1,41876,5,48672
WB2018500154-A00260,CR-022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,64896,0,64896
WB2018500154-A00260,CR-022,OV-058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,64896,0,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,64896,0,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,64896,0,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,DR-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,64896,0,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,64896,0,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,64896,0,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-012,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,64896,676,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-012,DK-010,,,,,,,,,,,,,,,,,,,,,,,,,,,9,64220,676,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-012,DK-010,GP-005,,,,,,,,,,,,,,,,,,,,,,,,,,10,63544,0,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-012,DK-010,GP-005,ME-005,,,,,,,,,,,,,,,,,,,,,,,,,11,63544,0,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,,,,,,,,,,,,,,,,,,,,,,,,12,63544,0,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,ES-001,,,,,,,,,,,,,,,,,,,,,,,13,63544,676,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,ES-001,LK-004,,,,,,,,,,,,,,,,,,,,,,14,62868,0,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,ES-001,LK-004,LS-063,,,,,,,,,,,,,,,,,,,,,15,62868,0,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,ES-001,LK-004,LS-063,FT-055,,,,,,,,,,,,,,,,,,,,16,62868,380,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,ES-001,LK-004,LS-063,FT-055,MS-019,,,,,,,,,,,,,,,,,,,17,62488,0,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,ES-001,LK-004,LS-063,FT-055,MS-019,MS-017,,,,,,,,,,,,,,,,,,18,62488,3238,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,ES-001,LK-004,LS-063,FT-055,MS-019,MS-017,AL-002,,,,,,,,,,,,,,,,,19,59250,4371,64896
WB2018500154-A00260,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-012,DK-010,GP-005,ME-005,SB-001,ES-001,LK-004,LS-063,FT-055,MS-019,MS-017,AL-002,MS-041,,,,,,,,,,,,,,,,-1,54879,0,64896
WB2018500154-A00263,CR-022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,64896,0,64896
WB2018500154-A00263,CR-022,OV-058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,64896,0,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,64896,0,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,64896,0,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,DR-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,64896,0,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,64896,0,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,64896,0,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-011,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,64896,0,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-011,DK-008,,,,,,,,,,,,,,,,,,,,,,,,,,,9,64896,676,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-011,DK-008,GP-005,,,,,,,,,,,,,,,,,,,,,,,,,,10,64220,0,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-011,DK-008,GP-005,ME-004,,,,,,,,,,,,,,,,,,,,,,,,,11,64220,676,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-011,DK-008,GP-005,ME-004,SB-001,,,,,,,,,,,,,,,,,,,,,,,,12,63544,0,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-011,DK-008,GP-005,ME-004,SB-001,ES-001,,,,,,,,,,,,,,,,,,,,,,,13,63544,1352,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-011,DK-008,GP-005,ME-004,SB-001,ES-001,LK-004,,,,,,,,,,,,,,,,,,,,,,14,62192,0,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-011,DK-008,GP-005,ME-004,SB-001,ES-001,LK-004,SA-001,,,,,,,,,,,,,,,,,,,,,15,62192,0,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-011,DK-008,GP-005,ME-004,SB-001,ES-001,LK-004,SA-001,LS-063,,,,,,,,,,,,,,,,,,,,16,62192,676,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-011,DK-008,GP-005,ME-004,SB-001,ES-001,LK-004,SA-001,LS-063,FT-089,,,,,,,,,,,,,,,,,,,17,61516,1855,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-011,DK-008,GP-005,ME-004,SB-001,ES-001,LK-004,SA-001,LS-063,FT-089,MS-017,,,,,,,,,,,,,,,,,,18,59661,0,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-011,DK-008,GP-005,ME-004,SB-001,ES-001,LK-004,SA-001,LS-063,FT-089,MS-017,MS-019,,,,,,,,,,,,,,,,,19,59661,3423,64896
WB2018500154-A00263,CR-022,OV-058,SP-007,PL-024,DR-001,EX-012,DM-005,PL-011,DK-008,GP-005,ME-004,SB-001,ES-001,LK-004,SA-001,LS-063,FT-089,MS-017,MS-019,AL-002,,,,,,,,,,,,,,,,-1,56238,0,64896
WB2018500154-A00264,CR-022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,64896,0,64896
WB2018500154-A00264,CR-022,OV-058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,64896,0,64896
WB2018500154-A00264,CR-022,OV-058,SP-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,64896,0,64896
WB2018500154-A00264,CR-022,OV-058,SP-007,PL-024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,64896,0,64896
